tweet_id,username,name,profile_picture,replies,retweets,likes,is_retweet,posted_time,content,hashtags,mentions,images,videos,tweet_url,link
1669483852484562951,deltanmd,Deltan Dallagnol,https://pbs.twimg.com/profile_images/1626722905575813130/EvVEzf9t_bigger.jpg,1139,1940,7470,False,2023-06-15T23:15:42+00:00,"Já que hoje é dia de #tbt, quem se lembra disso?
#ZaninNão ","['tbt', 'ZaninNão']",[],['https://pbs.twimg.com/ext_tw_video_thumb/1669483787313467392/pu/img/_SztPpirPfBEUtch.jpg'],['blob:https://twitter.com/5c0ba7c2-9f5e-41b1-ab35-3a40eaae1ed7'],https://twitter.com/deltanmd/status/1669483852484562951,
1669156615033876481,deltanmd,Deltan Dallagnol,https://pbs.twimg.com/profile_images/1626722905575813130/EvVEzf9t_bigger.jpg,1922,2576,11919,False,2023-06-15T01:35:23+00:00,É realmente indignante ver algo tão absurdo ser aprovado na Câmara dos Deputados! Será que em breve seremos presos por chamarmos o político pego com dinheiro na cueca de corrupto?,[],[],['https://pbs.twimg.com/amplify_video_thumb/1669156357725908994/img/dZnG2MdRmIoDx2Cu.jpg'],['blob:https://twitter.com/3baf74e8-0063-4cd0-828e-c3df221c21d8'],https://twitter.com/deltanmd/status/1669156615033876481,
1669722961597587458,deltanmd,Deltan Dallagnol,https://pbs.twimg.com/profile_images/1626722905575813130/EvVEzf9t_bigger.jpg,3848,1264,6639,False,2023-06-16T15:05:50+00:00,"No meu artigo da semana na 
@gazetadopovo
 eu aponto 7 razões para o Senado rejeitar Zanin. 

E você, o que acha da nomeação do Zanin? Conta pra mim nos comentários. 

Leia, assine e apoie o jornalismo da Gazeta:",[],['gazetadopovo'],[],[],https://twitter.com/deltanmd/status/1669722961597587458,https://t.co/l9DV5oOzpp
1670439156705632256,wwd,WWD,https://pbs.twimg.com/profile_images/821473222700974080/-pKeUvf8_bigger.jpg,379,3646,4268,False,2023-06-18T14:31:44+00:00,"Jaehyun backstage with Miuccia Prada at today’s Prada menswear show in Milan. 

See more at http://WWD.com",[],[],['https://pbs.twimg.com/amplify_video_thumb/1670438930473185282/img/J61HJCfq2N7kwzTp.jpg'],['blob:https://twitter.com/a3655dbb-9297-4966-870e-f389741ffbba'],https://twitter.com/wwd/status/1670439156705632256,
1670400969446752258,Prada,PRADA,https://pbs.twimg.com/profile_images/1182672076534099970/THJ_FIoL_bigger.jpg,323,3132,3219,False,2023-06-18T12:00:00+00:00,"#MiucciaPrada and #RafSimons present the Prada SS24 Menswear Collection June 18th 2023, 2 PM CEST.

#PradaSS24","['MiucciaPrada', 'RafSimons', 'PradaSS24']",[],[],[],https://twitter.com/Prada/status/1670400969446752258,https://twitter.com/i/broadcasts/1gqxvyaDPEOJB
1670416075681411073,ManUtd,Manchester United,https://pbs.twimg.com/profile_images/1657365039521693702/mdFAaUGE_bigger.png,119,215,2357,False,2023-06-18T13:00:01+00:00,"This #FathersDay, buy a pair of 
@OfficialMauiJim
 sunglasses and you could be in with a chance of winning a virtual meet and greet with a Red! 

#MUFC || #MauiJimLens","['FathersDay', 'MUFC', 'MauiJimLens']",['OfficialMauiJim'],[],[],https://twitter.com/ManUtd/status/1670416075681411073,https://store.manutd.com/en/manchester-united-maui-jim/t-47202368+br-0633+z-97084-442340078?_s=bm-FI-PSOC-MUFC-Twitter
1670405696951648258,itgirlenergy,linda,https://pbs.twimg.com/profile_images/1653339475999703042/eHgNWom5_bigger.jpg,6,188,2213,False,2023-06-18T12:18:47+00:00,Deva Cassel for Coperni aw23,[],[],['https://pbs.twimg.com/media/Fy55IMZXsAcjYx1?format=jpg&name=900x900'],[],https://twitter.com/itgirlenergy/status/1670405696951648258,
1670485998613020677,LouisVuitton,,https://pbs.twimg.com/profile_images/1615746856218132482/eETr_9ic_bigger.jpg,21,277,1626,False,2023-06-18T17:37:52+00:00,,[],[],['https://pbs.twimg.com/media/Fy7CKYnXoAEiZ6-?format=jpg&name=small'],[],https://twitter.com/LouisVuitton/status/1670485998613020677,
1670430132702519297,HAPPYHOLIDAYS98,,https://pbs.twimg.com/profile_images/1664026327521828865/dwIEg7wc_bigger.jpg,16,267,13266,False,2023-06-18T13:55:53+00:00,,[],[],[],[],https://twitter.com/HAPPYHOLIDAYS98/status/1670430132702519297,
1670500509042589700,stats_feed,,https://pbs.twimg.com/profile_images/1335168437220421632/VCHg78Nf_bigger.jpg,206,673,3877,False,2023-06-18T18:35:32+00:00,,[],[],[],[],https://twitter.com/stats_feed/status/1670500509042589700,
